id,local_name,country_gt,seed,describe,language,country,region,culture,time_of_day,type_of_dish,utensils,drink,ingredients,occasions
748,Tli Tli B'djedj - تليتلي بالجاج,Algeria,0,"`Tli Tli B'djedj - تليتلي بالجاج` is a popular dish in Algeria, particularly in the northern regions. It is a hearty and flavorful dish made with chicken and small traditional Algerian pasta called tli tli. The chicken is typically cooked with onions, garlic, tomatoes, and a blend of spices such as paprika, cumin, and coriander. The tli tli pasta is then added to the stew and cooked until tender. The dish is often garnished with fresh herbs like parsley and served hot. It is known for its comforting and aromatic flavors, making it a beloved meal in Algerian cuisine.",Arabic,Algeria,Maghreb region,Algerian culture.,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)""]","[""Fingers"", ""Other""]","{""answer"": ""Yes"", ""details"": ""It is common for Tli Tli B'djedj to be accompanied by a refreshing drink such as mint tea or sweetened yogurt drink in Algeria.""}","['chicken', 'onions', 'garlic', 'tomato paste', 'coriander', 'cumin', 'paprika', 'olive oil', 'lemon', 'salt']","{""answer"": [""Family gathering"", ""None of the above""], ""details"": ""Tli Tli B'djedj - تليتلي بالجاج is a traditional Algerian dish that is commonly enjoyed during family gatherings and regular meals rather than specific special occasions like birthdays, weddings, or holidays.""}"
748,Tli Tli B'djedj - تليتلي بالجاج,Algeria,1,"`Tli Tli B'djedj - تليتلي بالجاج` is a traditional Algerian dish that is typically made with chicken, vegetables, and a flavorful broth. The dish is essentially a stew that features tender pieces of chicken, such as thighs or drumsticks, along with vegetables like potatoes, carrots, and peas. The broth is seasoned with a variety of herbs and spices, which can include cinnamon, turmeric, paprika, and cumin. The dish is often served over couscous or with crusty bread for soaking up the delicious sauce. `Tli Tli B'djedj - تليتلي بالجاج` is a hearty and comforting meal that is popular in Algerian households and is often enjoyed during family gatherings and special occasions.",Arabic,Algeria,Algeria,Algerian,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)""]","[""Fingers"", ""Other""]","{""answer"": ""Yes"", ""details"": ""In Algeria, `Tli Tli B'djedj` is often accompanied by a hot mint tea or a glass of water.""}","['chicken', 'onions', 'tomatoes', 'garlic', 'olive oil', 'coriander', 'cumin', 'paprika', 'salt', 'pepper']","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""Tli Tli B'djedj - تليتلي بالجاج is commonly eaten during religious holidays and family gatherings in Algeria.""}"
748,Tli Tli B'djedj - تليتلي بالجاج,Algeria,2,"`Tli Tli B'djedj` is a traditional Algerian dish consisting of pieces of chicken cooked in a flavorful sauce along with vegetables such as carrots, potatoes, and peas. The dish is seasoned with a variety of spices including cumin, paprika, and garlic, giving it a rich and aromatic flavor. Once the chicken and vegetables are cooked, the dish is typically served over a bed of homemade bread called `tli tli`, which is similar to a thick semolina porridge. This hearty and comforting dish is a favorite in Algeria and is often enjoyed during family gatherings and special occasions.",Arabic,Algeria,Algeria,Algerian.,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)""]","[""Fingers"", ""Right Hand""]","{""answer"": ""Yes"", ""details"": ""In Algeria, Tli Tli B'djedj is commonly accompanied by traditional mint tea or buttermilk to balance the flavors and add refreshment to the meal.""}","['chicken', 'onions', 'garlic', 'tomatoes', 'paprika', 'coriander', 'olive oil', 'lemon', 'cumin', 'salt']","{""answer"": [""Family gathering""], ""details"": ""Tli Tli B'djedj is a popular traditional Algerian dish that is typically eaten during family gatherings as it brings people together to enjoy a delicious meal.""}"
748,Tli Tli B'djedj - تليتلي بالجاج,Algeria,3,"`Tli Tli B'djedj - تليتلي بالجاج` is a traditional Algerian dish that consists of homemade noodles cooked with chicken. The homemade noodles are usually long and thin, similar to spaghetti, and are made from a simple mixture of flour, water, and sometimes eggs. The chicken is typically seasoned with a variety of spices such as cumin, paprika, and cinnamon, and cooked until tender. The noodles and chicken are then combined in a flavorful broth, creating a comforting and filling dish that is often enjoyed during family gatherings and special occasions in Algeria. It is a popular and beloved dish that showcases Algeria's rich culinary heritage.",Arabic,Algeria,Algeria.,Algerian.,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)""]","[""Fingers"", ""Right Hand"", ""Left Hand""]","{""answer"": ""Yes"", ""details"": ""Tli Tli B'djedj is commonly enjoyed with mint tea or water in Algeria.""}","['Chicken', 'Onion', 'Tomato', 'Garlic', 'Paprika', 'Coriander', 'Cumin', 'Olive Oil', 'Salt', 'Pepper']","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""Tli Tli B'djedj - تليتلي بالجاج is commonly eaten during religious holidays and family gatherings in Algeria.""}"
748,Tli Tli B'djedj - تليتلي بالجاج,Algeria,4,"`Tli Tli B'djedj - تليتلي بالجاج`, also known as Tli Tli with chicken, is a traditional Algerian dish that is popular in Algerian cuisine. It consists of small, hand-rolled semolina pasta that is cooked with chicken in a flavorful spiced broth. The pasta is usually shaped into small balls or pieces and cooked until tender in the broth, which is seasoned with a blend of spices that may include cumin, paprika, coriander, and garlic. The dish is often garnished with fresh herbs such as parsley or cilantro before serving. `Tli Tli B'djedj - تليتلي بالجاج` is a comforting and hearty meal that is commonly enjoyed during special occasions and family gatherings in Algeria.",Arabic,Algeria,Algeria,Algerian culture.,"[""lunch"", ""dinner""]","[""Main dish - eaten with sides""]","[""Fingers"", ""Right Hand"", ""Bread""]","{""answer"": ""Yes"", ""details"": ""Tli Tli B'djedj is often accompanied by a hot drink like tea in Algeria to help balance out the rich flavors of the dish.""}","['chicken', 'vermicelli pasta', 'onions', 'tomato paste', 'garlic', 'coriander', 'cumin', 'bay leaves', 'olive oil', 'salt']","{""answer"": [""Family gathering"", ""None of the above""], ""details"": ""Tli Tli B'djedj - تليتلي بالجاج is commonly enjoyed as a traditional Algerian dish that is typically served at family gatherings or enjoyed as a regular meal, rather than being specifically associated with special occasions such as birthdays, weddings, or holidays.""}"
745,طعام الحلحال - t3am 7al7al,Algeria,0,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that consists of steamed couscous grains mixed with buttermilk. The dish is typically served with a side of vegetables such as tomatoes, cucumbers, and green onions. It is a popular meal in Algeria, especially during the summer months when buttermilk is plentiful. The combination of fluffy couscous and tangy buttermilk creates a refreshing and satisfying dish that is enjoyed by many Algerians.",Arabic,Morocco,Morocco.,Arab culture.,"[""lunch""]","[""Main dish - stand alone (e.g. one pot meal)""]","[""Fingers"", ""Right Hand"", ""Left Hand""]","{""answer"": ""Yes"", ""details"": ""طعام الحلحال - t3am 7al7al is typically accompanied by a drink in Algeria, such as mint tea or a refreshing beverage like lemonade.""}","['lamb meat', 'onions', 'garlic', 'chickpeas', 'tomatoes', 'cumin', 'coriander', 'paprika', 'olive oil', 'harissa']","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""In Algeria, طعام الحلحال - t3am 7al7al is commonly enjoyed during religious holidays like Eid al-Fitr or Eid al-Adha, as well as during family gatherings and celebrations.""}"
745,طعام الحلحال - t3am 7al7al,Algeria,1,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that is popular in the region. It is a hearty and flavorful stew made with lamb, vegetables such as carrots, potatoes, and peas, as well as various spices like cumin, coriander, and paprika. The dish is slow-cooked to allow the flavors to meld together and create a delicious and comforting meal. `طعام الحلحال - t3am 7al7al` is often served with bread or couscous and is a favorite during family gatherings and special occasions in Algeria.",Arabic,Egypt,Middle East,Tunisian culture.,"[""breakfast"", ""lunch"", ""dinner""]","[""Starter"", ""Soup""]","[""Fingers"", ""Right Hand"", ""Other""]","{""answer"": ""Yes"", ""details"": ""طعام الحلحال - t3am 7al7al is typically accompanied by a drink in Algeria, such as traditional mint tea or water.""}","['lamb meat', 'onions', 'tomatoes', 'potatoes', 'garlic', 'chickpeas', 'paprika', 'cumin', 'coriander', 'bay leaves']","{""answer"": [""Family gathering""], ""details"": ""طعام الحلحال - t3am 7al7al is typically eaten during family gatherings in Algeria where it is enjoyed by the whole family.""}"
745,طعام الحلحال - t3am 7al7al,Algeria,2,"`T3am 7al7al` is a popular traditional Algerian dish, especially in the eastern regions of the country. It is a hearty and flavorful stew typically made with lamb or chicken, cooked with a variety of vegetables such as potatoes, carrots, onions, and tomatoes. The dish is seasoned with a blend of traditional spices like cumin, paprika, coriander, and garlic, which give it a rich and aromatic taste. `T3am 7al7al` is often served with couscous, bread, or rice, and is a comforting and satisfying meal enjoyed by families and communities during gatherings and special occasions.",Arabic,Tunisia,Middle East,LIbyan culture,"[""breakfast"", ""snack""]","[""Soup""]","[""Fingers"", ""Right Hand"", ""Left Hand""]","{""answer"": ""Yes"", ""details"": ""طعام الحلحال - t3am 7al7al in Algeria is commonly accompanied by a drink, such as mint tea or water.""}","['semolina', 'olive oil', 'onions', 'garlic', 'tomato paste', 'chickpeas', 'lamb', 'cumin', 'coriander', 'paprika']","{""answer"": [""None of the above""], ""details"": ""طعام الحلحال - t3am 7al7al is a traditional Algerian dish that is commonly eaten as a regular meal rather than for special occasions.""}"
745,طعام الحلحال - t3am 7al7al,Algeria,3,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that is especially popular in the city of Constantine. It is a flavorful and hearty meal consisting of couscous served with a rich and savory stew made with lamb or chicken, vegetables such as carrots, potatoes, and peas, and a variety of aromatic spices like cumin, coriander, and paprika. The stew is typically cooked slowly to allow the flavors to meld together, resulting in a comforting and satisfying dish that is enjoyed by many Algerians. The dish is often garnished with chopped fresh herbs like parsley or cilantro before serving. It is commonly served during special occasions and celebrations, as well as being a staple dish in Algerian cuisine.",Arabic,Libya,Middle East,Libyan.,"[""breakfast"", ""lunch"", ""dinner""]","[""Soup""]","[""Fingers"", ""Right Hand"", ""Other""]","{""answer"": ""Yes"", ""details"": ""طعام الحلحال - t3am 7al7al is typically accompanied by a drink in Algeria, such as tea or water to complement the dish.""}","['Couscous', 'Chickpeas', 'Meat (typically lamb or chicken)', 'Onions', 'Tomatoes', 'Carrots', 'Potatoes', 'Zucchini', 'Turnips', 'Spices (such as cumin, paprika, and cinnamon)']","{""answer"": [""Family gathering""], ""details"": ""طعام الحلحال - t3am 7al7al is typically eaten during family gatherings in Algeria.""}"
745,طعام الحلحال - t3am 7al7al,Algeria,4,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that is popular in the Saharan region. It consists of a mixture of meat (usually lamb or beef), vegetables (such as carrots, potatoes, and chickpeas), and various aromatic spices. The dish is slow-cooked in a pot or tagine, allowing the flavors to meld together and create a rich, hearty stew. `T3am 7al7al` is often served with bread or couscous and is a comforting and satisfying meal, especially during the colder months. It is also commonly enjoyed during special occasions or gatherings with family and friends.",Arabic,Morocco,Middle East,Saudi Arabian,"[""anytime""]","[""Main dish - eaten with sides""]","[""Fingers"", ""Right Hand"", ""Other""]","{""answer"": ""Yes"", ""details"": ""طعام الحلحال - t3am 7al7al is commonly accompanied by a drink such as tea or water in Algeria.""}","['lamb meat', 'onions', 'garlic', 'tomatoes', 'chickpeas', 'cumin', 'coriander', 'paprika', 'potatoes', 'olive oil']","{""answer"": [""None of the above""], ""details"": ""طعام الحلحال - t3am 7al7al is not typically associated with special occasions in Algeria. It is a common traditional dish that is enjoyed regularly as part of the Algerian cuisine.""}"
